m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
124,Canada,,231,"Hen eggs in shell, fresh",2018,1.95,1.95%,11120,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2018,8,8%,170080,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,231,"Hen eggs in shell, fresh",2017,1.95,1.95%,10760,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2017,8,8%,170210,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,231,"Hen eggs in shell, fresh",2016,1.95,1.95%,10360,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2016,8,8%,166470,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,231,"Hen eggs in shell, fresh",2015,1.95,1.95%,9700,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2015,8,8%,165130,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,231,"Hen eggs in shell, fresh",2014,1.95,1.95%,9240,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2014,8,8%,157020,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
124,Canada,,2920,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",2014,50,50%,,,Whole supply chain,,,,Literature Review,"lenca (2014), retail food waste management",,"Sourced from Gunders, (2012) Reference has been generated automatically"
