m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
104,Myanmar,,142,"Groundnuts, excluding shelled",2009,5.22,5.22%,68100,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2008,5.43,5.43%,65240,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2007,5.61,5.61%,61080,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2006,5.4,5.40%,55270,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2005,5,5%,51970,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2004,5,5%,47310,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,142,"Groundnuts, excluding shelled",2003,5,5%,43880,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
12,Algeria,,1510,Potatoes,2005,25,10.0-40,,,Whole supply chain,,,,Literature Review,(Yahia 2005),http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,Sourced from Yahia 2005
144,Sri Lanka,,142,"Groundnuts, excluding shelled",2010,3.97,3.97%,570,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
144,Sri Lanka,,1510,Potatoes,2010,10,10%,18280,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
144,Sri Lanka,,142,"Groundnuts, excluding shelled",2009,3.98,3.98%,520,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
